careerLevel,company_logo,company_name,company_slug,isProAd,isRemote,jobFunction,location,postedDate,slug,title,type,viewCount
Mütəxəssis,bc973f6f-db83-4170-9156-413aff0c6d22.jpeg,Qalan AZ,qalan,True,False,"Təhsil, kurslar, təlim- tədris","Bakı, Azərbaycan",2026-01-29T11:39:57.332Z,qalan-targetoloq-55113,Targetoloq,Tam ştat,1443
Gənc mütəxəssis,bc973f6f-db83-4170-9156-413aff0c6d22.jpeg,Qalan AZ,qalan,True,False,"Təhsil, kurslar, təlim- tədris","Bakı, Azərbaycan",2026-01-29T11:30:24.902Z,qalan-telesales-27182,Telesales,Tam ştat,1778
Gənc mütəxəssis,,Avromed Company MMC,avromed,False,False,"Mühasibatlıq, müəssisənin iqtisadiyyatı","Bakı, Azərbaycan",2026-02-27T12:32:14.501Z,avromed-muhasib-komekcisi-93364,Mühasib köməkçisi,Tam ştat,10
,,Avromed Company MMC,avromed,False,False,Marketinq,"Bakı, Azərbaycan",2026-02-27T12:27:11.583Z,avromed-medical-representative-for-cardiology-and-endocrinology-products-3050,Medical representative for Cardiology and Endocrinology products,Tam ştat,6
,91fae030-3a04-11eb-991b-add28f18e8e5.png,Kontakt Home,abc-telecom,False,False,"Mühasibatlıq, müəssisənin iqtisadiyyatı","Bakı, Azərbaycan",2026-02-27T12:26:49.451Z,abc-telecom-aparici-kassir-olivia-kosmetika-ve-baxim-65377,Aparıcı Kassir /Olivia( Kosmetika və baxım),Tam ştat,9
Mütəxəssis,,Avromed Company MMC,avromed,False,False,"Səhiyyə, əczaçılıq","Bakı, Azərbaycan",2026-02-27T12:25:45.833Z,avromed-kateqoriyalarin-idare-edilmesi-uzre-mutexessis-b2b-37217,Kateqoriyaların idare edilməsi üzrə mütəxəssis (B2B),Tam ştat,8
Mütəxəssis,,Avromed Company MMC,avromed,False,False,"Proqramlaşdırma, mobil tətbiqlər və veb dizayn","Bakı, Azərbaycan",2026-02-27T12:05:11.769Z,avromed-flutter-developer-11088,Flutter Developer,Tam ştat,16
Digər,,Avromed Company MMC,avromed,False,False,Marketinq,"Bakı, Azərbaycan",2026-02-27T12:04:11.123Z,avromed-medical-representative-for-otc-group-61109,Medical representative for OTC group,Tam ştat,11
Məzun,,Avromed Company MMC,avromed,False,False,"Satınalma, təchizat, tədarük şəbəkəsi","Bakı, Azərbaycan",2026-02-27T12:04:06.912Z,avromed-junior-specialist-purchasing-85142,Junior Specialist Purchasing,Tam ştat,20
Mütəxəssis,,Avromed Company MMC,avromed,False,False,"Səhiyyə, əczaçılıq","Bakı, Azərbaycan",2026-02-27T11:59:43.574Z,avromed-kateqoriyalarin-idare-edilmesi-uzre-bas-mutexessis-b2g-85962,Kateqoriyaların idarə edilməsi üzrə baş mütəxəssis (B2G),Tam ştat,23
Orta səviyyəli,,Avromed Company MMC,avromed,False,False,İnformasiya Texnologiyaları,"Bakı, Azərbaycan",2026-02-27T11:55:51.314Z,avromed-senior-it-call-center-operator-89689,Senior IT Call Center Operator,Tam ştat,27
Rəhbər,b4646c52-01f0-4c90-9aa7-041d9bfd9c0d.png,Azərbaycan Dəmir Yolları,ady,False,False,Dəmiryol xidmətləri,"Füzuli, Azərbaycan",2026-02-27T11:44:26.163Z,ady-anbar-reisi-fuzuli-horadiz-5379,Anbar rəisi (Füzuli Horadiz),Tam ştat,31
career-levels.undefined,91fae030-3a04-11eb-991b-add28f18e8e5.png,Kontakt Home,abc-telecom,False,False,"Proqramlaşdırma, mobil tətbiqlər və veb dizayn","Bakı, Azərbaycan",2026-02-27T11:13:58.350Z,abc-telecom-mehsul-sahibi-mobil-tetbiqler-product-owner-mobile-app-96569,Məhsul sahibi (Mobil tətbiqlər) — Product Owner (Mobile App),Tam ştat,55
Məzun,43cd9470-a069-11ed-a87f-3761f0abf2b7.png,İnnovasiya və Rəqəmsal İnkişaf Agentliyi,idda,False,False,"Data analizi, statistik təhlil","Bakı, Azərbaycan",2026-02-27T11:01:20.246Z,idda-data-tehlili-uzre-tecrubeci-24544,Data təhlili üzrə təcrübəçi,Tam ştat,62
,dc07add4-7169-4c8b-b5dc-a14b41fac431.png,Landau Education Group,landauschool,False,False,"Təhsil, kurslar, təlim- tədris","Bakı, Azərbaycan",2026-02-27T10:54:17.331Z,landauschool-english-teacher-secondary-international-24153,English Teacher (Secondary International),Tam ştat,8993
,43cd9470-a069-11ed-a87f-3761f0abf2b7.png,İnnovasiya və Rəqəmsal İnkişaf Agentliyi,idda,False,False,"Proqramlaşdırma, mobil tətbiqlər və veb dizayn","Bakı, Azərbaycan",2026-02-27T10:42:05.769Z,idda-qa-tecrubeci-78186,QA təcrübəçi,Təcrübə,79
Orta səviyyəli,,Avromed Company MMC,avromed,False,False,İnformasiya Texnologiyaları,"Bakı, Azərbaycan",2026-02-27T10:27:53.745Z,avromed-it-rm-specialist-17262,IT R&M specialist,Tam ştat,56
,91fae030-3a04-11eb-991b-add28f18e8e5.png,Kontakt Home,abc-telecom,False,False,Digər xidmətlər,"Bakı, Azərbaycan",2026-02-27T10:09:10.673Z,abc-telecom-sifarislerin-bolgusu-uzre-mutexessis-mebel-uzre-2799,Sifarişlərin bölgüsü üzrə mütəxəssis (Mebel üzrə),Tam ştat,1223
,f048c610-7a44-11ee-ae0c-c5bc90a7ee89.png,Mətanət A Şirkətlər Qrupu,matanata,False,False,Maliyyə xidmətləri,"Bakı, Azərbaycan",2026-02-27T08:56:26.903Z,matanata-maliyye-mutexessisi-85973,Maliyyə Mütəxəssisi,Tam ştat,97
,dc07add4-7169-4c8b-b5dc-a14b41fac431.png,Landau Education Group,landauschool,False,False,"Təhsil, kurslar, təlim- tədris","Bakı, Azərbaycan",2026-02-27T08:41:13.175Z,landauschool-layihelerin-idareolunmasi-uzre-aparici-mutexessis-64047,Layihələrin idarəolunması üzrə aparıcı mütəxəssis,Tam ştat,126
,f048c610-7a44-11ee-ae0c-c5bc90a7ee89.png,Mətanət A Şirkətlər Qrupu,matanata,False,False,Digər xidmətlər,"Bakı, Azərbaycan",2026-02-27T08:28:28.683Z,matanata-karguzar-maliyye-departamenti-10352,Kargüzar (Maliyyə Departamenti),Tam ştat,162
Mütəxəssis,37704fe0-61e0-11ee-aa2d-9b736edf43c5.png,PMD Group MMC,pmdgroup,False,False,"İnşaat/tikinti, daşınmaz əmlak","Bakı, Azərbaycan",2026-02-27T08:15:59.319Z,pmdgroup-texniki-nezaret-uzre-bas-muhendis-17481,Texniki nəzarət üzrə baş mühəndis,Tam ştat,91
Məzun,,Avromed Company MMC,avromed,False,False,"Səhiyyə, əczaçılıq","Bakı, Azərbaycan",2026-02-27T07:55:31.376Z,avromed-kateqoriyalarin-idare-edilmesi-uzre-mutexessis-68282,Kateqoriyaların idarə edilməsi üzrə mütəxəssis,Tam ştat,107
Məzun,,Avromed Company MMC,avromed,False,False,"Səhiyyə, əczaçılıq","Bakı, Azərbaycan",2026-02-27T07:55:08.112Z,avromed-kateqoriyalarin-idare-edilmesi-uzre-kicik-mutexessis-88124,Kateqoriyaların idarə edilməsi üzrə kiçik mütəxəssis,Tam ştat,118
,f048c610-7a44-11ee-ae0c-c5bc90a7ee89.png,Mətanət A Şirkətlər Qrupu,matanata,False,False,"Satınalma, təchizat, tədarük şəbəkəsi","Bakı, Azərbaycan",2026-02-27T07:53:42.673Z,matanata-satinalma-uzre-mutexessis-senaye-ve-texniki-techizat-uzre-47259,Satınalma Üzrə Mütəxəssis (Sənaye və Texniki Təchizat üzrə),Tam ştat,108
,28069cc0-e0b0-11eb-ac35-b3a58074ff76.png,Unibank Kommersiya Bankı,unibank,False,False,Digər xidmətlər,"Bakı, Azərbaycan",2026-02-27T07:46:54.677Z,unibank-reqemsal-bankciliq-ve-innovativ-sistemler-uzre-daxili-auditor-26234,Rəqəmsal bankçılıq və innovativ sistemlər üzrə Daxili Auditor,Tam ştat,140
,353efdd0-199b-11ee-b574-a5c3b71eb124.jpg,Aztelekom MMC,aztelekom,False,False,"İnsan resursları, kadr təchizatı, kadrların təlimi","Bakı, Azərbaycan",2026-02-27T07:28:35.575Z,aztelekom-setem-uzre-aparici-mutexessis-58667,Sətəm üzrə aparıcı mütəxəssis,Tam ştat,122
,353efdd0-199b-11ee-b574-a5c3b71eb124.jpg,Aztelekom MMC,aztelekom,False,False,"İnzibati heyət, ofis işləri","Hacıqabul, Azərbaycan",2026-02-27T07:25:28.768Z,aztelekom-setem-uzre-mutexessis-haciqabul-84624,SƏTƏM üzrə mütəxəssis ( Hacıqabul),Tam ştat,67
,353efdd0-199b-11ee-b574-a5c3b71eb124.jpg,Aztelekom MMC,aztelekom,False,False,"Elm, texnologiya, mühəndislik","Bakı, Azərbaycan",2026-02-27T07:24:04.630Z,aztelekom-mpls-uzre-sebeke-muhendisi-29129,MPLS üzrə şəbəkə mühəndisi,Tam ştat,91
,353efdd0-199b-11ee-b574-a5c3b71eb124.jpg,Aztelekom MMC,aztelekom,False,False,İnformasiya Texnologiyaları,"Bakı, Azərbaycan",2026-02-27T07:19:53.026Z,aztelekom-08dabc8d-4620-4be4-b94e-053cefa04035-84842,Kibertəhlükəsizlik üzrə Baş mütəxəssis,Tam ştat,138
Mütəxəssis,43cd9470-a069-11ed-a87f-3761f0abf2b7.png,İnnovasiya və Rəqəmsal İnkişaf Agentliyi,idda,False,False,İnformasiya Texnologiyaları,"Bakı, Azərbaycan",2026-02-27T07:13:52.521Z,idda-sebeke-inzibatcisi-2469,Şəbəkə inzibatçısı,Tam ştat,184
Digər,43cd9470-a069-11ed-a87f-3761f0abf2b7.png,İnnovasiya və Rəqəmsal İnkişaf Agentliyi,idda,False,False,"Proqramlaşdırma, mobil tətbiqlər və veb dizayn","Bakı, Azərbaycan",2026-02-27T07:13:04.248Z,idda-qa-automation-engineer-99310,QA Automation Engineer,Tam ştat,132
